Entity,Policy Orientation,Geographic Origin,EU Constituency Role
Google,Digital & Technology Policy,US,Business / Industry Representatives
Bureau Européen des Unions de Consommateurs (BEUC),Social & Environmental Policy,EU,Public Interest Advocacy
Transport and Environment (T&E),Social & Environmental Policy,EU,Public Interest Advocacy
DIGITALEUROPE (DE),Digital & Technology Policy,EU,Industry Representatives
WWF European Policy Programme (WWF EPO),Social & Environmental Policy,International,Public Interest Advocacy
Microsoft Corporation,Digital & Technology Policy,US,Business / Industry Representatives
American Chamber of Commerce to the EU (AmCham EU),Business & Industry Policy,US,Industry Representatives
EuroCommerce,Business & Industry Policy,EU,Industry Representatives
European farmers (COPA),Agriculture & Food Policy,EU,Workers/Producers
Vodafone Belgium SA (VBSA),Telecommunications & Connectivity,EU,Business / Industry Representatives
European Chemical Industry Council (Cefic),Business & Industry Policy,EU,Industry Representatives
European agri-cooperatives (COGECA),Agriculture & Food Policy,EU,Workers/Producers
Bundesverband der Deutschen Industrie (BDI),Business & Industry Policy,EU,Industry Representatives
Greenpeace European Unit,Social & Environmental Policy,International,Public Interest Advocacy
Deutsche Telekom (DT),Telecommunications & Connectivity,EU,Business / Industry Representatives
General Electric (GE),Business & Industry Policy,US,Business / Industry Representatives
Telefonica (TEF),Telecommunications & Connectivity,EU,Business / Industry Representatives
SMEunited,Business & Industry Policy,EU,Industry Representatives
EFPIA (Pharmaceutical Federation),Health & Pharmaceuticals,EU,Industry Representatives
Open Society European Policy Institute (OSEPI),Social & Environmental Policy,International,Public Interest Advocacy
Confindustria,Business & Industry Policy,EU,Industry Representatives
OXFAM INTERNATIONAL EU Office,Social & Environmental Policy,International,Public Interest Advocacy
Orange,Telecommunications & Connectivity,EU,Business / Industry Representatives
ETNO (Telecom Association),Telecommunications & Connectivity,EU,Industry Representatives
Kreab,Business & Industry Policy,International,Intermediaries
Confederation of Finnish Industries (EK),Business & Industry Policy,EU,Industry Representatives
Bill & Melinda Gates Foundation (BMGF),Social & Environmental Policy,US,Public Interest Advocacy
EUROCHAMBRES,Business & Industry Policy,EU,Industry Representatives
Siemens AG,Business & Industry Policy,EU,Business / Industry Representatives
spiritsEUROPE,Agriculture & Food Policy,EU,Industry Representatives
Nokia,Digital & Technology Policy,EU,Business / Industry Representatives
MTK (Finnish Agricultural Producers),Agriculture & Food Policy,EU,Workers/Producers
European Magazine Media Association (EMMA),Business & Industry Policy,EU,Industry Representatives
Medicines for Europe,Health & Pharmaceuticals,EU,Industry Representatives
DIHK (German Chambers of Commerce),Business & Industry Policy,EU,Industry Representatives
KfW Bankengruppe,Financial & Economic Policy,EU,Business / Industry Representatives
SGI Europe (Public Services Employers),Business & Industry Policy,EU,Industry Representatives
FTI Consulting Belgium,Business & Industry Policy,International,Intermediaries
Insurance Europe,Financial & Economic Policy,EU,Industry Representatives
European Policy Centre (EPC),Economic & Financial Policy,EU,Intermediaries
Friends of Europe (FoE),Economic & Financial Policy,EU,Intermediaries
Dow Europe GmbH,Business & Industry Policy,US,Business / Industry Representatives
BT Group,Business & Industry Policy,EU,Business / Industry Representatives
European Newspaper Publishers' Association (ENPA),Business & Industry Policy,EU,Industry Representatives
QUALCOMM (QCOM),Digital & Technology Policy,US,Business / Industry Representatives
GSMA Europe,Digital & Technology Policy,International,Industry Representatives
Portland (G Plus Ltd),Business & Industry Policy,International,Intermediaries
Twitter International Company,Digital & Technology Policy,US,Business / Industry Representatives
FoodDrinkEurope,Agriculture & Food Policy,EU,Industry Representatives
European Business Summit (EBS),Economic & Financial Policy,EU,Intermediaries
